"title","publisher","source_type","content_group","evidence_years","url","used_for_statuses","link_status","verification_method","http_status","verified_on","resolved_url"
"Are we ready? Emergency unit capacity at selected district hospitals in Lusaka","Academic journal","Primary or supporting source","Academic research","2023","https://doi.org/10.1371/journal.pgph.0004382","actual","verified","automated","200","2026-07-17","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0004382"
"Assessing the Perioperative Capacity in Zambia","Academic journal","Primary or supporting source","Academic research","2024","https://doi.org/10.1002/wjs.12615","actual","verified","browser","403","2026-07-17","https://doi.org/10.1002/wjs.12615"
"Self-Efficacy and Determinants of Newborn Resuscitation Practices","Academic journal","Primary or supporting source","Academic research","2024","https://doi.org/10.24018/clinicmed.2024.5.3.341","actual","verified","automated","200","2026-07-17","https://eu-opensci.org/index.php/clinicmed/article/view/12341"
"Actualizing global agreements: Increasing medical oxygen supply to hospitals in Zambia","CHAI","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.clintonhealthaccess.org/blog/actualizing-global-agreements-increasing-medical-oxygen-supply-to-hospitals-in-zambia/","actual; capacity; estimate","verified","automated","206","2026-07-17","https://www.clintonhealthaccess.org/blog/actualizing-global-agreements-increasing-medical-oxygen-supply-to-hospitals-in-zambia/"
"CIDRZ USAID-TBLON Supports UTH with Oxygen Concentrators","CIDRZ","Primary or supporting source","Official programme, partner, and facility updates","2024","https://www.cidrz.org/2024/11/19/cidrzs-usaid-tblon-project-supports-uth-with-oxygen-concentrators/","actual","verified","automated","200","2026-07-17","https://www.cidrz.org/2024/11/19/cidrzs-usaid-tblon-project-supports-uth-with-oxygen-concentrators/"
"Critical-care training for severely ill COVID-19 patients","CIDRZ","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.cidrz.org/2021/09/02/cidrz-trains-grz-health-care-workers-in-the-management-of-severely-ill-covid-19-patients/","actual","verified","automated","200","2026-07-17","https://www.cidrz.org/2021/09/02/cidrz-trains-grz-health-care-workers-in-the-management-of-severely-ill-covid-19-patients/"
"Breath of Life: New Oxygen Plant at Mtendere Mission Hospital","Churches Health Association of Zambia","Primary or supporting source","Official programme, partner, and facility updates","2026","http://www.chaz.org.zm/index.php/2026/04/27/breath-of-life-new-oxygen-plant-at-mtendere-mission-hospital-strengthens-healthcare-in-chirundu/","actual","verified","automated","200","2026-07-17","http://www.chaz.org.zm/index.php/2026/04/27/breath-of-life-new-oxygen-plant-at-mtendere-mission-hospital-strengthens-healthcare-in-chirundu/"
"Mwandi Mission Hospital Development Projects","Churches Health Association of Zambia","Primary or supporting source","Official programme, partner, and facility updates","2025","https://www.chaz.org.zm/index.php/2025/08/18/mwandi-mission-hospital-development-projects-elate-chaz-ceo/","actual","verified","automated","200","2026-07-17","https://www.chaz.org.zm/index.php/2025/08/18/mwandi-mission-hospital-development-projects-elate-chaz-ceo/"
"Global Oxygen Alliance: Zambia milestone report","Global Oxygen Alliance","Programme case study","Official programme, partner, and facility updates","2024","https://globaloxygenalliance.org/news/the-global-oxygen-alliance-go%E2%82%82al-marking-one-year-of-milestones-on-world-oxygen-day-2024/","","verified","automated","200","2026-07-17","https://globaloxygenalliance.org/news/the-global-oxygen-alliance-go%E2%82%82al-marking-one-year-of-milestones-on-world-oxygen-day-2024/"
"Evaluation of a National Training Programme on Oxygen Therapy","International Journal of Critical Care","Peer-reviewed evaluation","Academic research","2023–2024","https://www.open-access.bcu.ac.uk/16885/1/1048-Carter-publication.pdf","","verified","automated","206","2026-07-17","https://www.open-access.bcu.ac.uk/16885/1/1048-Carter-publication.pdf"
"National Assembly debate","National Assembly of Zambia","Primary or supporting source","National plans and government records","2026","https://www.parliament.gov.zm/node/12884","context","verified","automated","200","2026-07-17","https://www.parliament.gov.zm/node/12884"
"Making Medical Oxygen Work","PATH","Primary or supporting source","Formal reports and assessments","2025","https://media.path.org/documents/SOURCE_RCE_Supply_Chain_Report_final.pdf","actual","verified","automated","206","2026-07-17","https://media.path.org/documents/SOURCE_RCE_Supply_Chain_Report_final.pdf"
"Strengthening Oxygen Data Management Systems","PATH","Implementation assessment","Formal reports and assessments","2022","https://media.path.org/documents/Oxygen_Data_Dashboard_Survey_Report_final_04.11.22.pdf","","verified","automated","206","2026-07-17","https://media.path.org/documents/Oxygen_Data_Dashboard_Survey_Report_final_04.11.22.pdf"
"Where oxygen meets action: Strengthening skills for better respiratory care","PATH","Primary or supporting source","Official programme, partner, and facility updates","2025","https://www.path.org/our-impact/articles/where-oxygen-meets-action-strengthening-skills-for-better-respiratory-care/","actual","verified","automated","206","2026-07-17","https://www.path.org/our-impact/articles/where-oxygen-meets-action-strengthening-skills-for-better-respiratory-care/"
"Biomedical Equipment for COVID-19 Case Management: Zambia Facility Survey","PATH / Zambia Ministry of Health","Facility assessment","Formal reports and assessments","2020","https://media.path.org/documents/Biomedical_Equipment_for_COVID-19_Zambia_facility_assessment_final_4-20-2021.pdf","","verified","automated","206","2026-07-17","https://media.path.org/documents/Biomedical_Equipment_for_COVID-19_Zambia_facility_assessment_final_4-20-2021.pdf"
"Medical Oxygen Ecosystem Gap Assessment for Zambia","PATH / Zambia Ministry of Health","Facility assessment","Formal reports and assessments","2023","https://media.path.org/documents/Zambia_BMES_Report_0122025.pdf","","verified","automated","206","2026-07-17","https://media.path.org/documents/Zambia_BMES_Report_0122025.pdf"
"Zambia Oxygen Indicators Feasibility Assessment","PATH / Zambia Ministry of Health","Indicator assessment","Formal reports and assessments","2025","https://media.path.org/documents/Zambia_Oxygen_Indicators_Feasibility_Assessment_Report.pdf","","verified","automated","206","2026-07-17","https://media.path.org/documents/Zambia_Oxygen_Indicators_Feasibility_Assessment_Report.pdf"
"Zambia Oxygen Summit Report","PATH / Zambia Ministry of Health","Summit report","Formal reports and assessments","2020","https://media.path.org/documents/2021.02.10_Zambia_Oxygen_Summit_Report_Final.pdf","","verified","automated","206","2026-07-17","https://media.path.org/documents/2021.02.10_Zambia_Oxygen_Summit_Report_Final.pdf"
"Limited oxygen therapy capacity against COVID-19 and public health response","PubMed Central","Primary or supporting source","Academic research","2021","https://pmc.ncbi.nlm.nih.gov/articles/PMC11777238/","actual","verified","automated","200","2026-07-17","https://pmc.ncbi.nlm.nih.gov/articles/PMC11777238/"
"Global Fund Zambia impact report","The Global Fund","Primary or supporting source","Formal reports and assessments","2023","https://www.theglobalfund.org/media/13120/impact_zambia_report_en.pdf","budget","verified","automated","206","2026-07-17","https://www.theglobalfund.org/media/13120/impact_zambia_report_en.pdf"
"Zambia and Global Fund launch new grants","The Global Fund","Primary or supporting source","Official programme, partner, and facility updates","2024","https://www.theglobalfund.org/en/updates/2024/2024-03-22-zambia-global-fund-new-grants-fight-aids-tb-malaria-strengthen-health-systems/","budget","verified","automated","200","2026-07-17","https://www.theglobalfund.org/en/updates/2024/2024-03-22-zambia-global-fund-new-grants-fight-aids-tb-malaria-strengthen-health-systems/"
"Germany Italy and Croatia support COVID-19 response in Zambia","UNICEF","Primary or supporting source","Official programme, partner, and facility updates","2022","https://www.unicef.org/zambia/press-releases/germany-italy-and-croatia-support-covid-19-response-zambia-2570400-doses-covid-19","actual","verified","browser","403","2026-07-17","https://www.unicef.org/zambia/press-releases/germany-italy-and-croatia-support-covid-19-response-zambia-2570400-doses-covid-19"
"Germany supports Zambia's multisectoral COVID-19 response","UNICEF","Primary or supporting source","Official programme, partner, and facility updates","2020","https://www.unicef.org/zambia/press-releases/germany-bolsters-support-government-republic-zambias-multi-sectoral-response-covid","actual; target","verified","browser","403","2026-07-17","https://www.unicef.org/zambia/press-releases/germany-bolsters-support-government-republic-zambias-multi-sectoral-response-covid"
"New Sweden-UNICEF partnership to support essential health services in Zambia during the COVID-19 response","UNICEF","Primary or supporting source","Official programme, partner, and facility updates","2020","https://www.unicef.org/zambia/press-releases/new-sweden-unicef-partnership-support-essential-health-services-zambia-during-covid","budget; target","verified","browser","403","2026-07-17","https://www.unicef.org/zambia/press-releases/new-sweden-unicef-partnership-support-essential-health-services-zambia-during-covid"
"Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","UNICEF","Primary or supporting source","Official programme, partner, and facility updates","2024","https://www.unicef.org/zambia/press-releases/oxygen-generation-plant-kitwe-teaching-hospital-handed-over-government-zambia","estimate","verified","browser","403","2026-07-17","https://www.unicef.org/zambia/press-releases/oxygen-generation-plant-kitwe-teaching-hospital-handed-over-government-zambia"
"Oxygen for COVID-19: UNICEF's global rapid and multi-faceted approach","UNICEF","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.unicef.org/supply/stories/oxygen-covid-19-unicefs-global-rapid-and-multi-faceted-approach","capacity","verified","browser","403","2026-07-17","https://www.unicef.org/supply/stories/oxygen-covid-19-unicefs-global-rapid-and-multi-faceted-approach"
"Commissioning of New Oxygen Production Plant at Kabwe Central Hospital","UNOPS","Primary or supporting source","Official programme, partner, and facility updates","2024–2025","https://content.unops.org/documents/libraries/press-releases/2025/en/Press-release-Zambia-Commissioning-of-New-Oxygen-Production-Plant-at-Kabwe-Central-Hospital.pdf","actual","verified","automated","206","2026-07-17","https://content.unops.org/documents/libraries/press-releases/2025/en/Press-release-Zambia-Commissioning-of-New-Oxygen-Production-Plant-at-Kabwe-Central-Hospital.pdf"
"Enhancing access to life-saving medical oxygen in Zambia","UNOPS","Primary or supporting source","Official programme, partner, and facility updates","2026","https://www.unops.org/news-and-stories/news/enhancing-access-to-life-saving-medical-oxygen-in-zambia-2","actual; budget; capacity","verified","automated","200","2026-07-17","https://www.unops.org/news-and-stories/news/enhancing-access-to-life-saving-medical-oxygen-in-zambia-2"
"Enhancing access to life-saving medical oxygen in Zambia","UNOPS","Primary or supporting source","Official programme, partner, and facility updates","2026","https://content.unops.org/documents/libraries/press-releases/2026/en/Press-release-Zambia-Commissioning-of-the-St-Pauls-Mission-Hospital-oxygen-production-plant.pdf","actual","verified","automated","206","2026-07-17","https://content.unops.org/documents/libraries/press-releases/2026/en/Press-release-Zambia-Commissioning-of-the-St-Pauls-Mission-Hospital-oxygen-production-plant.pdf"
"Enhancing access to life-saving medical oxygen in Zambia","UNOPS","Primary or supporting source","Official programme, partner, and facility updates","2024","https://www.unops.org/zambia","baseline","verified","automated","200","2026-07-17","https://www.unops.org/zambia"
"New medical oxygen production plant in Zambia","UNOPS","Primary or supporting source","Official programme, partner, and facility updates","2024","https://www.unops.org/news-and-stories/news/building-a-new-medical-oxygen-production-plant-in-zambia","actual; budget; capacity","verified","automated","200","2026-07-17","https://www.unops.org/news-and-stories/news/building-a-new-medical-oxygen-production-plant-in-zambia"
"UNOPS COVID-19 support update","UNOPS","Primary or supporting source","Official programme, partner, and facility updates","2022","https://www.unops.org/news-and-stories/news/covid-19-stay-up-to-date-with-the-latest-on-unops-support-to-response-efforts","budget","verified","automated","200","2026-07-17","https://www.unops.org/news-and-stories/news/covid-19-stay-up-to-date-with-the-latest-on-unops-support-to-response-efforts"
"ACT-A Oxygen Emergency Taskforce Milestones","Unitaid","Primary or supporting source","Formal reports and assessments","2022","https://unitaid.org/uploads/ACT-A-Emergency-Oxygen-Taskforce-Milestones.pdf","actual","verified","automated","206","2026-07-17","https://unitaid.org/uploads/ACT-A-Emergency-Oxygen-Taskforce-Milestones.pdf"
"Commissioning of the Bulk Liquid Oxygen Tank at Levy Mwanawasa UTH","Unitaid","Primary or supporting source","Official programme, partner, and facility updates","2023–2024","https://unitaid.org/news-blog/liquid-medical-oxygen-can-level-the-playing-field/","actual","verified","browser","403","2026-07-17","https://unitaid.org/news-blog/liquid-medical-oxygen-can-level-the-playing-field/"
"UN Sustainable Development Partnership Framework 2022 Annual Report","United Nations Zambia","Primary or supporting source","Formal reports and assessments","2022","https://zambia.un.org/sites/default/files/2023-06/UNSDPF_2022-ANNUAL%20REPORT_FINAL-WEB%20VERSION_11%20May%202023.pdf","actual","verified","automated","206","2026-07-17","https://zambia.un.org/sites/default/files/2023-06/UNSDPF_2022-ANNUAL%20REPORT_FINAL-WEB%20VERSION_11%20May%202023.pdf"
"UN Zambia Newsletter July–September 2021","United Nations Zambia","Primary or supporting source","Official programme, partner, and facility updates","2021","https://zambia.un.org/sites/default/files/2021-11/UN%20Newsletter%20-%20JULY-%20SEPT%202021%20FINAL.pdf","actual","verified","automated","206","2026-07-17","https://zambia.un.org/sites/default/files/2021-11/UN%20Newsletter%20-%20JULY-%20SEPT%202021%20FINAL.pdf"
"UNOPS Government and Global Fund Partner to Launch Medical Oxygen Production Plant at Kasama General Hospital","United Nations Zambia","Primary or supporting source","Official programme, partner, and facility updates","2025","https://zambia.un.org/en/293916-unops-government-and-global-fund-partner-launch-medical-oxygen-production-plant-kasama","actual","verified","automated","206","2026-07-17","https://zambia.un.org/en/293916-unops-government-and-global-fund-partner-launch-medical-oxygen-production-plant-kasama"
"United Nations Zambia Newsletter July-September 2025","United Nations Zambia","Primary or supporting source","Official programme, partner, and facility updates","2025","https://zambia.un.org/en/download/197103/305911","actual; capacity","verified","automated","206","2026-07-17","https://zambia.un.org/sites/default/files/2025-11/UN%20Zambia%20Newsletter_%20July%20-%20Sept%2725_final.pdf"
"WHO Zambia 2023/24 Annual Report","WHO Regional Office for Africa","Primary or supporting source","Formal reports and assessments","2025","https://www.afro.who.int/sites/default/files/2025-07/WHO%20Zambia%202324%20Annual%20Report%20Final.pdf","actual","verified","automated","206","2026-07-17","https://www.afro.who.int/sites/default/files/2025-07/WHO%20Zambia%202324%20Annual%20Report%20Final.pdf"
"WHO Zambia Annual Report 2022","WHO Regional Office for Africa","Primary or supporting source","Formal reports and assessments","2022","https://www.afro.who.int/sites/default/files/2023-09/WHO%20Zambia%20Annual%20Report%20%28final%20edit%29.pdf","budget","verified","automated","206","2026-07-17","https://www.afro.who.int/sites/default/files/2023-09/WHO%20Zambia%20Annual%20Report%20%28final%20edit%29.pdf"
"Zambia Assessment on Frontline Health Service Readiness and Capacities in the Context of COVID-19 Pandemic","WHO Regional Office for Africa","Primary or supporting source","Formal reports and assessments","2021","https://www.afro.who.int/sites/default/files/2021-11/First%20Round%20Zambia%20Covid-19%20Frontline%20Capacity%20Assessment.pdf","actual","verified","automated","206","2026-07-17","https://www.afro.who.int/sites/default/files/2021-11/First%20Round%20Zambia%20Covid-19%20Frontline%20Capacity%20Assessment.pdf"
"Environmental and Social Management Plan—15 Mobile Modular PSA Oxygen Plants","World Bank","Primary or supporting source","Formal reports and assessments","2023","https://documents1.worldbank.org/curated/en/099082323204076933/txt/P1741850ec98290e0bfc6040ac03d5cd77.txt","capacity","verified","automated","200","2026-07-17","https://documents1.worldbank.org/curated/en/099082323204076933/txt/P1741850ec98290e0bfc6040ac03d5cd77.txt"
"Zambia COVID-19 Emergency Response and Health Systems Preparedness Project—Implementation Support Mission Aide Memoire","World Bank","Primary or supporting source","Formal reports and assessments","2024","https://documents1.worldbank.org/curated/en/099041525154542789/pdf/P174185-60c78f6e-0c6b-4657-a920-653140fb63ad.pdf","actual; capacity; derived","verified","automated","200","2026-07-17","https://documents1.worldbank.org/curated/en/099041525154542789/pdf/P174185-60c78f6e-0c6b-4657-a920-653140fb63ad.pdf"
"Zambia National Medical Oxygen Strategic Plan 2022–2026","Zambia Ministry of Health","National strategy","National plans and government records","2022–2026","https://stoppneumonia.org/wp-content/uploads/2023/05/Zambia-National-Medical-Oxygen-Strategy-2022-2026.pdf","","verified","automated","206","2026-07-17","https://stoppneumonia.org/wp-content/uploads/2023/05/Zambia-National-Medical-Oxygen-Strategy-2022-2026.pdf"
"Access to Medical Oxygen Report","accesstomedicinefoundation.org","Primary or supporting source","Formal reports and assessments","2021","https://accesstomedicinefoundation.org/medialibrary/access-to-medical-oxygen-report_atmf_2023.pdf","actual","verified","automated","206","2026-07-17","https://accesstomedicinefoundation.org/medialibrary/access-to-medical-oxygen-report_atmf_2023.pdf"
"British High Commission statement reproduced by News Diggers","diggers.news","Primary or supporting source","News and social posts","2021","https://diggers.news/local/2021/07/22/uk-procures-9000-oxygen-cylinders-for-zambia/","actual","verified","automated","200","2026-07-17","https://diggers.news/local/2021/07/22/uk-procures-9000-oxygen-cylinders-for-zambia/"
"Kasama oxygen-plant groundbreaking report","efficacynews.africa","Primary or supporting source","News and social posts","2024","https://efficacynews.africa/2024/05/13/minister-of-health-leads-groundbreaking-ceremony-for-oxygen-plant-construction-at-kasama-general-hospital/","context","verified","automated","200","2026-07-17","https://efficacynews.africa/2024/05/13/minister-of-health-leads-groundbreaking-ceremony-for-oxygen-plant-construction-at-kasama-general-hospital/"
"Oxygen for Zambian Hospital","inmatec.de","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.inmatec.de/en/news-stories-details/oxygen-for-zambian-hospital.html","capacity","verified","automated","200","2026-07-17","https://www.inmatec.de/en/news-stories-details/oxygen-for-zambian-hospital.html"
"Livingstone hospital oxygen-system implementation posts","linkedin.com","Primary or supporting source","News and social posts","2024","https://www.linkedin.com/posts/joseph-mphande-6242aa75_livingstoneuniversityteachinghospital-activity-7252621227847024641-V0re","actual","verified","automated","200","2026-07-17","https://www.linkedin.com/posts/joseph-mphande-6242aa75_livingstoneuniversityteachinghospital-activity-7252621227847024641-V0re"
"National Oxygen Coordinator commissioning post","linkedin.com","Primary or supporting source","News and social posts","2024","https://www.linkedin.com/posts/joseph-mphande-6242aa75_today-marks-a-significant-advancement-in-activity-7270507135090749441-5tH2","capacity","verified","automated","200","2026-07-17","https://www.linkedin.com/posts/joseph-mphande-6242aa75_today-marks-a-significant-advancement-in-activity-7270507135090749441-5tH2"
"Government procures 8,000 oxygen cylinders for distribution","lusakatimes.com","Primary or supporting source","News and social posts","2023","https://www.lusakatimes.com/2023/03/07/government-procures-8000-oxygen-cylinders-for-distribution-to-various-health-facilities-across-the-country/","context","verified","automated","200","2026-07-17","https://www.lusakatimes.com/2023/03/07/government-procures-8000-oxygen-cylinders-for-distribution-to-various-health-facilities-across-the-country/"
"USAID DISCOVER-Health FY2022 Q1 Executive Summary","publications.jsi.com","Primary or supporting source","Formal reports and assessments","2021","https://publications.jsi.com/JSIInternet/Inc/Common/_download_pub.cfm?id=24991&lid=3","actual","verified","automated","200","2026-07-17","https://publications.jsi.com/JSIInternet/Inc/Common/_download_pub.cfm?id=24991&lid=3"
"Predictors of mortality in acute hospitalised COVID-19 pneumonia patients","scielo.org.za","Primary or supporting source","Academic research","2021","https://scielo.org.za/scielo.php?pid=S0256-95742022000400008&script=sci_arttext","actual","verified","automated","200","2026-07-17","https://scielo.org.za/scielo.php?pid=S0256-95742022000400008&script=sci_arttext"
"St Francis Hospital Annual Report 2023","supportstfrancishospital.org","Primary or supporting source","Formal reports and assessments","2023","https://www.supportstfrancishospital.org/wp-content/uploads/2024/06/SFH-Annual-report-2023.pdf","actual","verified","automated","206","2026-07-17","https://www.supportstfrancishospital.org/wp-content/uploads/2024/06/SFH-Annual-report-2023.pdf"
"St Francis Hospital oxygen-generator project","supportstfrancishospital.org","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.supportstfrancishospital.org/oxygen-plant-at-st-francis-hospital/","actual","verified","automated","200","2026-07-17","https://www.supportstfrancishospital.org/oxygen-plant-at-st-francis-hospital/"
